iter	Passed	Remaining
0	59	59545
1	60	29977
2	60	20164
3	61	15259
4	61	12281
5	62	10292
6	62	8882
7	63	7812
8	63	6988
9	63	6324
10	64	5778
11	64	5322
12	65	4939
13	65	4612
14	65	4330
15	66	4077
16	66	3859
17	67	3664
18	67	3490
19	68	3333
20	68	3190
21	68	3058
22	69	2937
23	69	2827
24	69	2727
25	70	2634
26	70	2547
27	71	2466
28	71	2392
29	72	2329
30	72	2266
31	72	2206
32	73	2150
33	73	2097
34	74	2046
35	74	1997
36	75	1953
37	75	1911
38	75	1872
39	76	1834
40	76	1797
41	77	1762
42	77	1728
43	78	1696
44	78	1665
45	78	1635
46	79	1606
47	79	1578
48	79	1551
49	80	1526
50	80	1501
51	81	1477
52	81	1454
53	81	1432
54	82	1411
55	82	1390
56	82	1372
57	83	1352
58	83	1335
59	84	1317
60	84	1300
61	84	1283
62	85	1267
63	85	1252
64	86	1238
65	86	1223
66	87	1211
67	87	1198
68	87	1184
69	88	1171
70	88	1159
71	88	1146
72	89	1133
73	90	1131
74	90	1122
75	91	1111
76	91	1100
77	92	1091
78	93	1090
79	93	1080
80	94	1070
81	94	1060
82	94	1049
83	95	1040
84	95	1031
85	96	1022
86	96	1014
87	97	1005
88	97	997
89	97	989
90	98	981
91	98	973
92	98	965
93	99	957
94	99	950
95	100	942
96	100	935
97	100	928
98	101	921
99	101	914
100	102	908
101	102	902
102	102	896
103	103	889
104	103	883
105	103	876
106	104	871
107	104	866
108	105	860
109	105	854
110	106	849
111	106	843
112	106	838
113	107	833
114	107	827
115	107	822
116	108	816
117	108	810
118	108	805
119	109	801
120	109	796
121	109	790
122	110	785
123	110	781
124	110	776
125	111	772
126	111	766
127	111	762
128	112	758
129	112	754
130	113	750
131	113	746
132	113	741
133	114	737
134	114	733
135	114	729
136	115	725
137	115	721
138	115	718
139	116	714
140	116	710
141	116	705
142	117	702
143	117	699
144	117	695
145	118	692
146	118	689
147	119	686
148	119	682
149	119	679
150	120	676
151	120	672
152	120	669
153	121	666
154	121	663
155	122	660
156	122	657
157	122	654
158	123	650
159	123	648
160	123	644
161	123	641
162	124	638
163	124	635
164	125	633
165	125	630
166	125	627
167	126	624
168	126	621
169	126	619
170	127	617
171	127	614
172	128	612
173	128	609
174	128	607
175	129	604
176	129	602
177	129	599
178	130	597
179	130	595
180	130	592
181	131	590
182	131	588
183	132	585
184	132	583
185	132	581
186	133	578
187	133	577
188	133	574
189	134	572
190	135	573
191	135	571
192	136	569
193	136	567
194	136	565
195	137	563
196	137	561
197	138	559
198	138	557
199	138	555
200	139	553
201	139	551
202	139	549
203	140	547
204	140	545
205	141	543
206	141	541
207	141	539
208	142	538
209	142	536
210	142	534
211	143	533
212	143	531
213	144	529
214	144	528
215	145	526
216	145	524
217	145	522
218	146	521
219	146	519
220	146	517
221	147	516
222	147	514
223	147	512
224	148	510
225	148	509
226	149	507
227	149	506
228	149	504
229	150	503
230	150	502
231	151	500
232	151	498
233	151	497
234	152	496
235	153	496
236	153	495
237	154	493
238	154	492
239	154	490
240	155	489
241	155	487
242	156	486
243	156	485
244	156	483
245	157	482
246	157	480
247	157	479
248	158	477
249	158	476
250	159	474
251	159	473
252	159	471
253	160	470
254	160	469
255	160	467
256	161	466
257	161	465
258	162	463
259	162	462
260	162	461
261	163	459
262	163	458
263	163	457
264	164	456
265	164	454
266	165	453
267	165	452
268	166	451
269	166	450
270	166	448
271	167	447
272	168	447
273	168	447
274	169	445
275	169	445
276	170	443
277	170	442
278	170	441
279	171	440
280	171	438
281	171	437
282	172	436
283	172	435
284	172	433
285	173	432
286	173	431
287	174	430
288	174	429
289	174	428
290	175	427
291	175	425
292	176	424
293	176	423
294	176	422
295	177	421
296	177	420
297	177	419
298	178	418
299	178	416
300	179	415
301	179	414
302	179	413
303	180	412
304	180	411
305	180	410
306	181	409
307	181	408
308	182	407
309	182	406
310	182	405
311	183	404
312	183	403
313	184	402
314	184	401
315	184	400
316	185	398
317	185	397
318	185	396
319	186	395
320	186	394
321	187	393
322	187	392
323	187	391
324	188	390
325	188	389
326	188	388
327	189	387
328	189	386
329	190	386
330	190	385
331	190	384
332	191	383
333	191	381
334	191	380
335	192	379
336	192	378
337	192	377
338	193	376
339	193	375
340	194	374
341	194	374
342	194	373
343	195	372
344	195	371
345	196	370
346	196	369
347	196	368
348	197	368
349	197	367
350	198	366
351	198	365
352	198	364
353	199	363
354	199	362
355	199	361
356	200	360
357	200	359
358	201	358
359	201	358
360	201	357
361	202	356
362	203	356
363	203	355
364	203	354
365	204	354
366	204	353
367	205	352
368	205	351
369	205	350
370	206	349
371	206	348
372	206	347
373	207	347
374	207	346
375	208	345
376	208	344
377	208	343
378	209	342
379	209	341
380	209	340
381	210	340
382	210	339
383	210	338
384	211	337
385	211	336
386	212	335
387	212	335
388	212	334
389	213	333
390	213	332
391	213	331
392	214	330
393	214	330
394	215	329
395	215	328
396	215	327
397	216	326
398	216	326
399	216	325
400	217	324
401	217	323
402	218	323
403	218	322
404	218	321
405	219	320
406	219	319
407	219	318
408	220	318
409	221	318
410	221	317
411	222	316
412	222	316
413	222	315
414	223	314
415	223	313
416	223	313
417	224	312
418	224	311
419	224	310
420	225	309
421	225	309
422	225	308
423	226	307
424	226	306
425	227	306
426	227	305
427	227	304
428	228	303
429	228	302
430	228	302
431	229	301
432	229	300
433	229	299
434	230	299
435	230	298
436	231	297
437	231	296
438	231	296
439	232	295
440	232	294
441	232	293
442	233	293
443	233	292
444	234	291
445	234	291
446	234	290
447	235	289
448	235	289
449	235	288
450	236	287
451	236	286
452	237	286
453	237	285
454	237	284
455	238	284
456	238	283
457	238	282
458	239	281
459	239	281
460	239	280
461	240	279
462	240	279
463	240	278
464	241	277
465	241	276
466	242	276
467	242	275
468	242	274
469	243	274
470	243	273
471	243	272
472	244	272
473	244	271
474	244	270
475	245	270
476	245	269
477	245	268
478	246	267
479	246	267
480	247	266
481	247	265
482	247	265
483	248	264
484	248	264
485	249	263
486	249	262
487	249	261
488	250	261
489	250	260
490	250	260
491	251	259
492	251	258
493	251	257
494	252	257
495	252	256
496	252	255
497	253	255
498	253	254
499	254	254
500	254	253
501	254	252
502	255	252
503	255	251
504	255	250
505	256	250
506	256	249
507	256	248
508	257	248
509	257	247
510	258	247
511	258	246
512	258	245
513	259	245
514	259	244
515	260	243
516	260	243
517	260	242
518	261	241
519	261	241
520	261	240
521	262	240
522	262	239
523	262	238
524	263	238
525	263	237
526	263	236
527	264	236
528	264	235
529	265	235
530	265	234
531	265	233
532	266	233
533	266	232
534	266	231
535	267	231
536	267	230
537	267	230
538	268	229
539	268	228
540	269	228
541	269	227
542	269	227
543	270	226
544	270	225
545	270	225
546	271	224
547	271	223
548	271	223
549	272	222
550	272	222
551	273	221
552	273	221
553	273	220
554	274	219
555	274	219
556	274	218
557	275	218
558	275	217
559	276	216
560	276	216
561	276	215
562	277	215
563	277	214
564	277	213
565	278	213
566	278	212
567	278	212
568	279	211
569	279	210
570	280	210
571	280	209
572	280	209
573	281	208
574	281	208
575	281	207
576	282	206
577	282	206
578	282	205
579	283	205
580	283	204
581	284	204
582	284	203
583	284	202
584	285	202
585	285	201
586	285	201
587	286	200
588	286	200
589	287	199
590	287	198
591	287	198
592	288	197
593	288	197
594	288	196
595	289	196
596	289	195
597	290	195
598	290	194
599	290	193
600	291	193
601	291	192
602	291	192
603	292	191
604	292	191
605	293	190
606	293	190
607	293	189
608	294	188
609	294	188
610	294	187
611	295	187
612	295	186
613	295	186
614	296	185
615	296	184
616	297	184
617	297	183
618	297	183
619	298	182
620	298	182
621	299	181
622	299	181
623	299	180
624	300	180
625	300	179
626	300	179
627	301	178
628	301	177
629	302	177
630	302	176
631	302	176
632	303	175
633	303	175
634	303	174
635	304	174
636	304	173
637	305	173
638	305	172
639	305	172
640	306	171
641	306	170
642	306	170
643	307	169
644	307	169
645	307	168
646	308	168
647	308	167
648	309	167
649	309	166
650	309	166
651	310	165
652	310	165
653	310	164
654	311	163
655	311	163
656	311	162
657	312	162
658	312	161
659	313	161
660	313	160
661	313	160
662	314	159
663	314	159
664	314	158
665	315	158
666	315	157
667	315	156
668	316	156
669	316	155
670	316	155
671	317	154
672	317	154
673	317	153
674	318	153
675	318	152
676	319	152
677	319	151
678	319	151
679	320	150
680	320	150
681	321	149
682	321	149
683	321	148
684	322	148
685	322	147
686	322	147
687	323	146
688	323	146
689	323	145
690	324	145
691	324	144
692	325	144
693	325	143
694	325	142
695	326	142
696	326	141
697	326	141
698	327	140
699	327	140
700	328	139
701	328	139
702	329	138
703	329	138
704	329	138
705	330	137
706	330	137
707	331	136
708	331	136
709	332	135
710	332	135
711	332	134
712	333	134
713	333	133
714	333	133
715	334	132
716	334	132
717	335	131
718	335	131
719	335	130
720	336	130
721	336	129
722	337	129
723	337	128
724	337	128
725	338	127
726	338	127
727	338	126
728	339	126
729	339	125
730	339	125
731	340	124
732	340	124
733	340	123
734	341	123
735	341	122
736	342	122
737	342	121
738	342	121
739	343	120
740	343	120
741	343	119
742	344	119
743	345	118
744	345	118
745	345	117
746	346	117
747	346	116
748	346	116
749	347	115
750	347	115
751	347	114
752	348	114
753	348	113
754	348	113
755	349	112
756	349	112
757	350	111
758	350	111
759	351	110
760	351	110
761	351	109
762	352	109
763	352	108
764	353	108
765	353	107
766	353	107
767	354	106
768	354	106
769	354	105
770	355	105
771	355	105
772	355	104
773	356	104
774	356	103
775	357	103
776	357	102
777	357	102
778	358	101
779	358	101
780	358	100
781	359	100
782	359	99
783	359	99
784	360	98
785	360	98
786	361	97
787	361	97
788	361	96
789	362	96
790	362	95
791	362	95
792	363	94
793	363	94
794	363	93
795	364	93
796	364	92
797	365	92
798	365	91
799	365	91
800	366	90
801	366	90
802	366	90
803	367	89
804	367	89
805	368	88
806	368	88
807	368	87
808	369	87
809	369	86
810	370	86
811	370	85
812	370	85
813	371	84
814	371	84
815	371	83
816	372	83
817	372	82
818	372	82
819	373	81
820	373	81
821	373	80
822	374	80
823	374	80
824	375	79
825	375	79
826	375	78
827	376	78
828	376	77
829	376	77
830	377	76
831	377	76
832	378	75
833	378	75
834	378	74
835	379	74
836	379	73
837	379	73
838	380	72
839	380	72
840	380	72
841	381	71
842	381	71
843	382	70
844	382	70
845	383	69
846	383	69
847	383	68
848	384	68
849	384	67
850	384	67
851	385	66
852	385	66
853	385	65
854	386	65
855	386	65
856	386	64
857	387	64
858	387	63
859	388	63
860	388	62
861	388	62
862	389	61
863	389	61
864	391	61
865	391	60
866	392	60
867	392	59
868	392	59
869	393	58
870	393	58
871	393	57
872	394	57
873	394	56
874	394	56
875	395	55
876	395	55
877	395	55
878	396	54
879	396	54
880	397	53
881	397	53
882	397	52
883	398	52
884	398	51
885	399	51
886	399	50
887	399	50
888	400	49
889	400	49
890	400	49
891	401	48
892	401	48
893	402	47
894	402	47
895	402	46
896	403	46
897	403	45
898	403	45
899	404	44
900	404	44
901	405	44
902	405	43
903	405	43
904	406	42
905	406	42
906	407	41
907	407	41
908	407	40
909	408	40
910	408	39
911	408	39
912	409	39
913	409	38
914	410	38
915	410	37
916	410	37
917	411	36
918	411	36
919	411	35
920	412	35
921	412	34
922	413	34
923	413	34
924	413	33
925	414	33
926	414	32
927	414	32
928	415	31
929	415	31
930	416	30
931	416	30
932	416	29
933	417	29
934	417	29
935	417	28
936	418	28
937	418	27
938	418	27
939	419	26
940	419	26
941	420	25
942	420	25
943	420	24
944	421	24
945	421	24
946	421	23
947	422	23
948	422	22
949	423	22
950	423	21
951	423	21
952	424	20
953	424	20
954	425	20
955	425	19
956	425	19
957	426	18
958	426	18
959	426	17
960	427	17
961	427	16
962	428	16
963	428	16
964	429	15
965	429	15
966	429	14
967	430	14
968	430	13
969	431	13
970	431	12
971	431	12
972	432	11
973	432	11
974	433	11
975	433	10
976	433	10
977	434	9
978	434	9
979	434	8
980	435	8
981	435	7
982	435	7
983	436	7
984	436	6
985	436	6
986	437	5
987	437	5
988	438	4
989	438	4
990	438	3
991	439	3
992	439	3
993	439	2
994	440	2
995	440	1
996	441	1
997	441	0
998	441	0
999	442	0
